extractor ,key_points       ,feature_extract_time ,matching ,matches ,feature_matching_time ,rmse_homography ,images                                                             ,error
brisk     ,"[3747, 2813]"   ,"[0.1008, 0.0714]"   ,knn      ,   1183 ,               0.1884 ,          36.98 ,"['images/FAD I/imagem_053.png', 'images/FAD I/imagem_052.png']"   ,False
brisk     ,"[3747, 2813]"   ,"[0.1167, 0.0806]"   ,bf       ,   1414 ,               0.2962 ,          98.66 ,"['images/FAD I/imagem_053.png', 'images/FAD I/imagem_052.png']"   ,False
orb       ,"[500, 500]"     ,"[0.0272, 0.021]"    ,knn      ,    294 ,               0.0044 ,          27.29 ,"['images/FAD I/imagem_053.png', 'images/FAD I/imagem_052.png']"   ,False
orb       ,"[500, 500]"     ,"[0.0255, 0.0204]"   ,bf       ,    296 ,               0.0065 ,          29.54 ,"['images/FAD I/imagem_053.png', 'images/FAD I/imagem_052.png']"   ,False
sift      ,"[3296, 1960]"   ,"[0.3531, 0.308]"    ,knn      ,    776 ,               0.0836 ,          52.85 ,"['images/FAD I/imagem_053.png', 'images/FAD I/imagem_052.png']"   ,False
sift      ,"[3296, 1960]"   ,"[0.4346, 0.3071]"   ,bf       ,   1074 ,               0.181  ,         157.98 ,"['images/FAD I/imagem_053.png', 'images/FAD I/imagem_052.png']"   ,False
surf      ,"[6329, 4105]"   ,"[0.6022, 0.4716]"   ,knn      ,   1799 ,               0.2285 ,          57.1  ,"['images/FAD I/imagem_053.png', 'images/FAD I/imagem_052.png']"   ,False
surf      ,"[6329, 4105]"   ,"[0.7024, 1.0765]"   ,bf       ,   2162 ,               0.635  ,         118.17 ,"['images/FAD I/imagem_053.png', 'images/FAD I/imagem_052.png']"   ,False

brisk     ,"[4623, 8575]"   ,"[0.125, 0.1926]"    ,knn      ,   2026 ,               0.4783 ,         115.38 ,"['images/FAD II/imagem_013.png', 'images/FAD II/imagem_012.png']" ,False
brisk     ,"[4623, 8575]"   ,"[0.1052, 0.1899]"   ,bf       ,   2638 ,               0.8609 ,         222.79 ,"['images/FAD II/imagem_013.png', 'images/FAD II/imagem_012.png']" ,False
orb       ,"[500, 500]"     ,"[0.0249, 0.0332]"   ,knn      ,    262 ,               0.005  ,          87.15 ,"['images/FAD II/imagem_013.png', 'images/FAD II/imagem_012.png']" ,False
orb       ,"[500, 500]"     ,"[0.0228, 0.0301]"   ,bf       ,    274 ,               0.0057 ,         154.53 ,"['images/FAD II/imagem_013.png', 'images/FAD II/imagem_012.png']" ,False
sift      ,"[4229, 7464]"   ,"[0.4175, 0.5757]"   ,knn      ,   1697 ,               0.6912 ,         109.07 ,"['images/FAD II/imagem_013.png', 'images/FAD II/imagem_012.png']" ,False
sift      ,"[4229, 7464]"   ,"[0.4399, 0.4085]"   ,bf       ,   2630 ,               0.6095 ,         279.64 ,"['images/FAD II/imagem_013.png', 'images/FAD II/imagem_012.png']" ,False
surf      ,"[4409, 7181]"   ,"[0.4723, 0.9031]"   ,knn      ,   1716 ,               0.2032 ,         110.87 ,"['images/FAD II/imagem_013.png', 'images/FAD II/imagem_012.png']" ,False
surf      ,"[4409, 7181]"   ,"[0.5163, 0.7202]"   ,bf       ,   2427 ,               0.5139 ,         234.68 ,"['images/FAD II/imagem_013.png', 'images/FAD II/imagem_012.png']" ,False

brisk     ,"[15178, 10110]" ,"[0.3836, 0.2362]"   ,knn      ,   1169 ,               1.7806 ,         100.07 ,"['images/FAD II/imagem_033.png', 'images/FAD II/imagem_032.png']" ,True
brisk     ,"[15178, 10110]" ,"[0.322, 0.1992]"    ,bf       ,   4298 ,               2.8679 ,         271.01 ,"['images/FAD II/imagem_033.png', 'images/FAD II/imagem_032.png']" ,True
orb       ,"[500, 500]"     ,"[0.0333, 0.0292]"   ,knn      ,     35 ,               0.0025 ,         125.45 ,"['images/FAD II/imagem_033.png', 'images/FAD II/imagem_032.png']" ,True
orb       ,"[500, 500]"     ,"[0.0347, 0.0294]"   ,bf       ,    172 ,               0.0049 ,         321.34 ,"['images/FAD II/imagem_033.png', 'images/FAD II/imagem_032.png']" ,True
sift      ,"[10792, 7783]"  ,"[0.612, 0.6459]"    ,knn      ,   1273 ,               1.2642 ,         117.59 ,"['images/FAD II/imagem_033.png', 'images/FAD II/imagem_032.png']" ,True
sift      ,"[10792, 7783]"  ,"[0.5012, 0.3097]"   ,bf       ,   3389 ,               1.8714 ,         281.96 ,"['images/FAD II/imagem_033.png', 'images/FAD II/imagem_032.png']" ,True
surf      ,"[9398, 7441]"   ,"[1.3165, 0.7053]"   ,knn      ,    319 ,               0.4447 ,         146.71 ,"['images/FAD II/imagem_033.png', 'images/FAD II/imagem_032.png']" ,True
surf      ,"[9398, 7441]"   ,"[1.013, 0.7316]"    ,bf       ,   2503 ,               1.2278 ,         286.74 ,"['images/FAD II/imagem_033.png', 'images/FAD II/imagem_032.png']" ,True

brisk     ,"[121, 85]"      ,"[0.0116, 0.01]"     ,knn      ,     57 ,               0.0008 ,          73.14 ,"['images/FAD II/imagem_040.png', 'images/FAD II/imagem_039.png']" ,False
brisk     ,"[121, 85]"      ,"[0.0187, 0.0112]"   ,bf       ,     55 ,               0.0008 ,          97.77 ,"['images/FAD II/imagem_040.png', 'images/FAD II/imagem_039.png']" ,False
orb       ,"[279, 236]"     ,"[0.0134, 0.0133]"   ,knn      ,     99 ,               0.0016 ,          62.87 ,"['images/FAD II/imagem_040.png', 'images/FAD II/imagem_039.png']" ,False
orb       ,"[279, 236]"     ,"[0.0116, 0.0114]"   ,bf       ,    111 ,               0.0016 ,          90.67 ,"['images/FAD II/imagem_040.png', 'images/FAD II/imagem_039.png']" ,False
sift      ,"[268, 177]"     ,"[0.2182, 0.1964]"   ,knn      ,     97 ,               0.0011 ,         132.71 ,"['images/FAD II/imagem_040.png', 'images/FAD II/imagem_039.png']" ,False
sift      ,"[268, 177]"     ,"[0.2434, 0.2175]"   ,bf       ,    113 ,               0.0012 ,         190.44 ,"['images/FAD II/imagem_040.png', 'images/FAD II/imagem_039.png']" ,False
surf      ,"[1420, 1038]"   ,"[0.2432, 0.2696]"   ,knn      ,    353 ,               0.0169 ,          98.14 ,"['images/FAD II/imagem_040.png', 'images/FAD II/imagem_039.png']" ,False
surf      ,"[1420, 1038]"   ,"[0.3179, 0.2836]"   ,bf       ,    540 ,               0.0229 ,         151.4  ,"['images/FAD II/imagem_040.png', 'images/FAD II/imagem_039.png']" ,False

brisk     ,"[2151, 4906]"   ,"[0.0502, 0.0888]"   ,knn      ,    592 ,               0.0931 ,         113.72 ,"['images/FE PL/imagem_048.png', 'images/FE PL/imagem_047.png']"   ,False
brisk     ,"[2151, 4906]"   ,"[0.0487, 0.0921]"   ,bf       ,   1213 ,               0.1526 ,         301.2  ,"['images/FE PL/imagem_048.png', 'images/FE PL/imagem_047.png']"   ,False
orb       ,"[500, 500]"     ,"[0.0154, 0.0171]"   ,knn      ,     94 ,               0.0021 ,         120.33 ,"['images/FE PL/imagem_048.png', 'images/FE PL/imagem_047.png']"   ,False
orb       ,"[500, 500]"     ,"[0.0144, 0.0176]"   ,bf       ,    187 ,               0.0042 ,         332.48 ,"['images/FE PL/imagem_048.png', 'images/FE PL/imagem_047.png']"   ,False
sift      ,"[1661, 3386]"   ,"[0.2347, 0.338]"    ,knn      ,    439 ,               0.0777 ,         165.35 ,"['images/FE PL/imagem_048.png', 'images/FE PL/imagem_047.png']"   ,False
sift      ,"[1661, 3386]"   ,"[0.2483, 0.2282]"   ,bf       ,    804 ,               0.0874 ,         300.98 ,"['images/FE PL/imagem_048.png', 'images/FE PL/imagem_047.png']"   ,False
surf      ,"[3651, 4241]"   ,"[0.3331, 0.2928]"   ,knn      ,    750 ,               0.1149 ,         131.05 ,"['images/FE PL/imagem_048.png', 'images/FE PL/imagem_047.png']"   ,False
surf      ,"[3651, 4241]"   ,"[0.3311, 0.3934]"   ,bf       ,   1295 ,               0.2034 ,         268.12 ,"['images/FE PL/imagem_048.png', 'images/FE PL/imagem_047.png']"   ,False

brisk     ,"[7030, 6018]"   ,"[0.1135, 0.0971]"   ,knn      ,   1120 ,               0.3048 ,         114.71 ,"['images/FE PL/imagem_065.png', 'images/FE PL/imagem_064.png']"   ,False
brisk     ,"[7030, 6018]"   ,"[0.1212, 0.098]"    ,bf       ,   2415 ,               0.6582 ,         213.02 ,"['images/FE PL/imagem_065.png', 'images/FE PL/imagem_064.png']"   ,False
